First Name,Last Name,Email,Gender,Age,Profession,Employer,Employer Address,Base Salary,Credit Score,Question 1,Question 2,Question 3,Question 4,Question 5,Question 6,Question 7,Question 8,Question 9,Question 10,Credit Marks,Personality Marks,Spending Marks,Final Marks
Desirae,Summerill,dsummerills@artisteer.com,Female,28,Nurse Practicioner,Eadel,9222 Mariners Cove Circle,36088,707.0,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Neutral,50.0,52.0,51.0,89.0
Donnell,Stearns,dstearnst@github.io,Male,55,Media Manager III,Shufflester,115 Morningstar Crossing,66089,788.0,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Neutral,Strongly Agree,Neutral,Strongly Disagree,Neutral,Somewhat Agree,Somewhat Disagree,77.0,61.0,91.0,60.0
Emmet,Beeze,ebeezeu@weebly.com,Male,23,Food Chemist,Zazio,5039 Eliot Court,73158,834.0,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Strongly Agree,Somewhat Agree,Strongly Agree,73.0,63.0,83.0,55.0
Doreen,Moncrefe,dmoncrefev@eepurl.com,Female,56,Human Resources Assistant I,Youspan,6 Myrtle Circle,82574,882.0,Strongly Disagree,Somewhat Disagree,Strongly Disagree,Strongly Agree,Neutral,Neutral,Neutral,Somewhat Disagree,Strongly Agree,Somewhat Disagree,94.0,99.0,91.0,85.0
Ashla,Jolin,ajolinw@slate.com,Female,22,Legal Assistant,Zoomdog,64 Drewry Center,85521,693.0,Somewhat Agree,Neutral,Somewhat Agree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Neutral,Somewhat Agree,74.0,58.0,88.0,78.0
Coralyn,Rosbotham,crosbothamx@reference.com,Female,32,Editor,Eire,3 Eagan Avenue,70406,682.0,Neutral,Strongly Disagree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Agree,Strongly Agree,Somewhat Disagree,88.0,64.0,90.0,54.0
Charley,Luckcock,cluckcocky@clickbank.net,Male,67,Senior Developer,Zoonder,45 Autumn Leaf Way,88720,757.0,Strongly Disagree,Strongly Agree,Somewhat Agree,Neutral,Strongly Disagree,Strongly Agree,Somewhat Agree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,68.0,53.0,92.0,68.0
Lothaire,Dolden,ldoldenz@nbcnews.com,Male,44,Project Manager,Jaxnation,70298 Killdeer Terrace,33090,812.0,Somewhat Disagree,Strongly Disagree,Somewhat Disagree,Neutral,Somewhat Agree,Strongly Agree,Neutral,Neutral,Somewhat Disagree,Somewhat Agree,78.0,76.0,70.0,55.0
Kata,Dorkins,kdorkins10@vimeo.com,Female,62,Recruiting Manager,Photobug,52221 Havey Junction,66323,631.0,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,82.0,74.0,83.0,50.0
Templeton,Broddle,tbroddle11@auda.org.au,Genderqueer,53,Junior Executive,Browsedrive,71 Gerald Center,65952,652.0,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Neutral,Strongly Disagree,Neutral,Neutral,Somewhat Disagree,95.0,85.0,96.0,90.0
Rafferty,Huie,rhuie12@slate.com,Male,69,Web Designer III,Kazio,97568 Grover Parkway,92602,825.0,Strongly Agree,Strongly Disagree,Somewhat Agree,Neutral,Somewhat Agree,Strongly Disagree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,85.0,100.0,97.0,81.0
Hastings,Berceros,hberceros13@clickbank.net,Male,51,Account Executive,Ailane,96 Di Loreto Pass,45957,618.0,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Neutral,95.0,96.0,57.0,81.0
Trish,Traske,ttraske14@facebook.com,Female,48,Senior Editor,Edgeclub,3 Macpherson Avenue,31474,811.0,Somewhat Disagree,Neutral,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,92.0,95.0,90.0,50.0
Misty,D'Aguanno,mdaguanno15@twitter.com,Female,65,Staff Accountant I,Zoomcast,84 Packers Center,73007,755.0,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Neutral,Strongly Disagree,Strongly Disagree,Neutral,Somewhat Disagree,60.0,96.0,73.0,50.0
Rhodia,Driussi,rdriussi16@cnet.com,Female,64,Recruiting Manager,Jetwire,325 Delaware Terrace,27789,741.0,Strongly Agree,Neutral,Strongly Disagree,Strongly Disagree,Neutral,Somewhat Agree,Strongly Disagree,Neutral,Somewhat Disagree,Somewhat Disagree,58.0,73.0,60.0,50.0
Les,Antonias,lantonias17@amazon.de,Male,40,Accountant III,Aimbo,70 Summit Lane,88575,565.0,Somewhat Agree,Strongly Disagree,Somewhat Disagree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Neutral,88.0,74.0,55.0,89.0
Juliette,Bastable,jbastable18@is.gd,Female,66,Design Engineer,Topdrive,25313 Clyde Gallagher Road,27350,635.0,Neutral,Strongly Disagree,Neutral,Strongly Agree,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Agree,52.0,76.0,79.0,74.0
Sancho,Viste,sviste19@addthis.com,Male,25,Sales Representative,Rhybox,9 Vidon Road,55305,686.0,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Disagree,74.0,78.0,60.0,88.0
Alvira,Nornable,anornable1a@tinyurl.com,Polygender,68,Pharmacist,Mudo,65 Saint Paul Junction,53801,598.0,Strongly Agree,Strongly Disagree,Somewhat Agree,Somewhat Disagree,Neutral,Strongly Agree,Somewhat Disagree,Neutral,Strongly Disagree,Neutral,86.0,73.0,91.0,84.0
Gasparo,Hecks,ghecks1b@hostgator.com,Male,37,Assistant Manager,Zoomlounge,8747 Dovetail Junction,73228,765.0,Strongly Agree,Somewhat Disagree,Strongly Agree,Strongly Disagree,Somewhat Disagree,Neutral,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,92.0,96.0,54.0,61.0
Claudelle,Guys,cguys1c@surveymonkey.com,Female,40,Programmer Analyst IV,Trupe,5994 Warrior Drive,74136,700.0,Somewhat Disagree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Strongly Agree,Neutral,Strongly Disagree,Strongly Disagree,85.0,88.0,62.0,64.0
Jacky,Camelin,jcamelin1d@elegantthemes.com,Male,67,Senior Sales Associate,Aimbu,917 Charing Cross Circle,88468,554.0,Strongly Disagree,Strongly Disagree,Neutral,Neutral,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,55.0,89.0,82.0,56.0
Lindsay,Goretti,lgoretti1e@netlog.com,Female,20,Mechanical Systems Engineer,Trupe,8987 Alpine Avenue,76248,596.0,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Neutral,Neutral,Strongly Disagree,Somewhat Agree,73.0,73.0,50.0,70.0
Janie,Caulkett,jcaulkett1f@feedburner.com,Female,46,Tax Accountant,Oodoo,55687 Saint Paul Alley,74488,667.0,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Neutral,Somewhat Disagree,Strongly Agree,Neutral,53.0,90.0,83.0,67.0
Georgette,Chasle,gchasle1g@engadget.com,Female,54,Account Coordinator,Skippad,95 Morning Circle,35002,750.0,Somewhat Agree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Neutral,Neutral,Neutral,Somewhat Disagree,Somewhat Agree,Strongly Agree,61.0,92.0,68.0,87.0
Kissie,Noads,knoads1h@cbc.ca,Female,54,Administrative Assistant IV,Rooxo,10 Nova Circle,34585,693.0,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Disagree,Somewhat Disagree,76.0,56.0,86.0,73.0
Cosette,Gregoriou,cgregoriou1i@nationalgeographic.com,Female,20,Design Engineer,Jabberbean,5763 High Crossing Hill,38999,854.0,Strongly Disagree,Strongly Agree,Neutral,Neutral,Neutral,Somewhat Disagree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Somewhat Disagree,87.0,81.0,92.0,82.0
Olin,Giffkins,ogiffkins1j@over-blog.com,Polygender,59,Senior Financial Analyst,Demimbu,6850 Schurz Trail,43963,659.0,Neutral,Neutral,Somewhat Disagree,Somewhat Disagree,Strongly Agree,Neutral,Somewhat Agree,Neutral,Neutral,Somewhat Agree,64.0,91.0,59.0,57.0
Becca,Chaperlin,bchaperlin1k@smh.com.au,Female,63,Human Resources Assistant II,Photojam,146 Washington Street,79217,852.0,Neutral,Neutral,Somewhat Disagree,Strongly Agree,Somewhat Agree,Neutral,Strongly Agree,Somewhat Disagree,Neutral,Somewhat Disagree,89.0,87.0,62.0,77.0
Dmitri,Delagnes,ddelagnes1l@digg.com,Male,69,Help Desk Technician,Meezzy,0 Coleman Parkway,50285,747.0,Strongly Disagree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,85.0,58.0,53.0,70.0
Nadeen,Fassan,nfassan1m@angelfire.com,Female,43,Director of Sales,Avamba,8162 Armistice Lane,36866,850.0,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Somewhat Disagree,Strongly Disagree,67.0,90.0,54.0,83.0
Inez,Silverlock,isilverlock1n@admin.ch,Female,60,Project Manager,Tazz,20328 Southridge Drive,46196,625.0,Strongly Agree,Somewhat Agree,Strongly Agree,Neutral,Strongly Agree,Neutral,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Disagree,82.0,84.0,76.0,66.0
Boris,Rayman,brayman1o@biglobe.ne.jp,Male,28,Data Coordiator,Oyonder,013 Gateway Hill,68436,832.0,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Strongly Disagree,Neutral,Neutral,Somewhat Agree,65.0,64.0,79.0,86.0
Yance,Falla,yfalla1p@usa.gov,Male,24,Mechanical Systems Engineer,Tagfeed,0298 Golden Leaf Center,37617,631.0,Somewhat Agree,Neutral,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,96.0,61.0,94.0,85.0
Valeda,Feldhorn,vfeldhorn1q@umn.edu,Female,63,Occupational Therapist,Agimba,5126 Hansons Plaza,94469,899.0,Strongly Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Neutral,Somewhat Disagree,Strongly Agree,74.0,64.0,90.0,71.0
Chelsea,Girardeau,cgirardeau1r@g.co,Female,25,Payment Adjustment Coordinator,Demizz,0 Carberry Avenue,85862,728.0,Neutral,Strongly Agree,Neutral,Strongly Agree,Somewhat Agree,Somewhat Disagree,Neutral,Neutral,Somewhat Agree,Strongly Agree,97.0,61.0,80.0,65.0
Portia,Hustings,phustings1s@sohu.com,Female,66,Analyst Programmer,Wordpedia,566 Cordelia Way,47264,813.0,Neutral,Strongly Agree,Neutral,Somewhat Disagree,Strongly Disagree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,58.0,81.0,68.0,89.0
Averyl,Cosby,acosby1t@wikipedia.org,Female,53,Senior Developer,Eamia,164 Novick Terrace,37220,646.0,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Disagree,Neutral,Strongly Agree,Neutral,Somewhat Agree,Strongly Agree,Strongly Agree,93.0,61.0,69.0,64.0
Hobard,Itzchaki,hitzchaki1u@ehow.com,Male,64,Recruiting Manager,Youspan,91999 Carey Pass,26250,608.0,Neutral,Somewhat Disagree,Neutral,Strongly Agree,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Neutral,Strongly Agree,75.0,50.0,61.0,70.0
Shay,Dowbiggin,sdowbiggin1v@walmart.com,Male,50,Automation Specialist III,Youspan,8 Scofield Parkway,96585,762.0,Neutral,Neutral,Neutral,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Agree,99.0,86.0,99.0,66.0
Hubert,Burridge,hburridge1w@tinypic.com,Male,23,Budget/Accounting Analyst I,Skynoodle,49340 Grasskamp Court,73746,581.0,Neutral,Strongly Disagree,Strongly Agree,Neutral,Somewhat Agree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Neutral,Strongly Disagree,52.0,98.0,90.0,51.0
Rozanne,McKeney,rmckeney1x@toplist.cz,Female,63,Actuary,Dabvine,704 Summerview Way,87319,564.0,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Disagree,Neutral,Strongly Agree,Somewhat Agree,Somewhat Agree,Neutral,Strongly Agree,82.0,76.0,85.0,73.0
Anna-diane,Frackiewicz,afrackiewicz1y@soup.io,Female,42,Pharmacist,Einti,17109 Saint Paul Street,93900,714.0,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Neutral,Strongly Disagree,Strongly Agree,Strongly Disagree,53.0,96.0,58.0,76.0
Colette,Windram,cwindram1z@rambler.ru,Female,44,Physical Therapy Assistant,Twinte,9450 Sachs Court,70976,822.0,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Strongly Agree,Somewhat Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Somewhat Disagree,75.0,78.0,70.0,53.0
Alexina,Garlick,agarlick20@histats.com,Female,40,Financial Advisor,Zoomdog,4 Hovde Avenue,92663,685.0,Neutral,Neutral,Strongly Disagree,Strongly Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Disagree,58.0,66.0,90.0,82.0
Kane,McVaugh,kmcvaugh21@flavors.me,Male,70,Senior Financial Analyst,Zoovu,537 Spohn Pass,67538,887.0,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Neutral,Strongly Agree,Strongly Disagree,85.0,98.0,58.0,89.0
Ansel,Davidi,adavidi22@bandcamp.com,Male,40,Financial Advisor,Blogpad,9 Crowley Alley,84929,638.0,Somewhat Disagree,Somewhat Agree,Strongly Agree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Neutral,Somewhat Agree,77.0,86.0,72.0,85.0
Eirena,O'Dyvoie,eodyvoie23@blog.com,Female,66,Environmental Tech,Yata,604 Texas Parkway,86736,659.0,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Somewhat Disagree,Strongly Disagree,Somewhat Agree,Strongly Agree,Neutral,Strongly Disagree,86.0,55.0,55.0,84.0
Ramsay,Deroche,rderoche24@icio.us,Male,41,Pharmacist,Jetwire,99 Sullivan Alley,51194,647.0,Neutral,Strongly Agree,Strongly Disagree,Neutral,Strongly Disagree,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Agree,83.0,75.0,89.0,71.0
Anthe,Endle,aendle25@blog.com,Polygender,67,Programmer Analyst I,Teklist,798 Ilene Lane,43548,886.0,Strongly Agree,Strongly Disagree,Neutral,Neutral,Somewhat Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,58.0,95.0,69.0,66.0
Claudine,Rohlf,crohlf26@ebay.co.uk,Female,63,Operator,Feedfire,6249 7th Plaza,58604,604.0,Strongly Disagree,Somewhat Disagree,Strongly Agree,Neutral,Strongly Disagree,Neutral,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Somewhat Disagree,71.0,97.0,66.0,88.0
Marja,Muggleton,mmuggleton27@pagesperso-orange.fr,Female,54,Mechanical Systems Engineer,Dabtype,5 Bayside Court,31708,877.0,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Somewhat Agree,Strongly Agree,Neutral,Somewhat Agree,Strongly Disagree,98.0,99.0,84.0,90.0
Katrina,Aubray,kaubray28@goo.gl,Female,31,Technical Writer,Trupe,823 Morningstar Alley,80111,623.0,Strongly Disagree,Neutral,Strongly Disagree,Neutral,Somewhat Agree,Strongly Disagree,Somewhat Disagree,Strongly Agree,Somewhat Disagree,Strongly Agree,88.0,78.0,91.0,52.0
Myron,Ramble,mramble29@ucoz.ru,Male,39,Nurse Practicioner,Jabbercube,3 Dawn Terrace,70997,583.0,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Neutral,Neutral,Somewhat Disagree,Neutral,Somewhat Agree,Strongly Agree,Somewhat Agree,59.0,60.0,99.0,67.0
Trenna,Thieme,tthieme2a@deliciousdays.com,Female,21,Chemical Engineer,Skilith,7443 Oxford Junction,47034,832.0,Somewhat Agree,Strongly Agree,Somewhat Disagree,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Neutral,Strongly Agree,Somewhat Disagree,51.0,88.0,89.0,59.0
Donnie,Petzolt,dpetzolt2b@cornell.edu,Female,27,Account Representative II,Ainyx,6192 Fair Oaks Place,96637,834.0,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Neutral,Strongly Agree,Strongly Disagree,Strongly Agree,Neutral,Somewhat Agree,Somewhat Agree,60.0,62.0,94.0,62.0
Helenelizabeth,Wickstead,hwickstead2c@shinystat.com,Female,35,Software Consultant,Twiyo,307 Columbus Junction,84634,776.0,Strongly Disagree,Somewhat Disagree,Strongly Disagree,Somewhat Disagree,Strongly Agree,Neutral,Somewhat Disagree,Neutral,Strongly Disagree,Neutral,63.0,89.0,55.0,72.0
Hephzibah,Khomin,hkhomin2d@odnoklassniki.ru,Female,58,Technical Writer,Quinu,2940 Burning Wood Alley,48346,705.0,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Somewhat Agree,Neutral,Strongly Agree,100.0,57.0,84.0,58.0
